,abbv,term
0,PTA,purified terephthalic acid
1,PSAs,Pension Scheme Arrangements
2,HACCP,Hazard Analysis Critical Control Point
3,STID,scientific and technical information and documentation
4,BISE,Biodiversity Information System for Europe
5,PSP,Paralytic Shellfish Poison
6,ECRIS,European Criminal Records Information System
7,ECVAM,European Centre on Validation of Alternative Methods
8,WISE,Water Information System for Europe
9,DF,Deterioration factor
10,CSFs,Community support frameworks
11,ECAI,external credit assessment institution
12,AIE,Agricola Industriala Emiliana
13,CFI,Court of First Instance
14,CARL,current annual real losses
15,IPS,institutional protection scheme
16,GRAHS,Gulf of Riga Acoustic Herring Survey
17,IFRS,International Financial Reporting Standard
18,CoC,Certificate of Conformity
19,SS,SE0000120669 SSABA
20,EMF,Energy measuring function
21,LEI,Legal Entity Identifier
22,OCR,Overall capital requirement
23,EPA,Economic Partnership Agreement
24,WNV,West Nile Virus
25,WIV,Wetenschappelijk Instituut Volksgezondheid
26,IAEA,International Atomic Energy Agency
27,ENP,European Neighbourhood Policy
28,CMS,Cytoplasmic Male Sterility
29,APUs,Auxiliary Power Units
30,IETM,Informal European Theatre Meeting
31,BTI,binding tariff information
32,EPR,engine pressure ratio
33,OD,optical density
34,SS,SP SR
35,EHDB,European Hull Data Base
36,MIMD,Multiple Instruction Multiple Data
37,KNIC,Korean National Insurance Company
38,UNHDI,United Nations Human Development Index
39,GMOs,Genetically Modified Organisms
40,GWP,global warming potential
41,IRMM,Institute of Reference Materials and Measurements
42,TRI,TVV Republic of Indonesia
43,ERDMS,European Reference Data Management System
44,RSL,road speed limiter
45,SFM,Sustainable Forest Management
46,ECSA,European Community Shipowners Associations
47,SGP,Stability and Growth Pact
48,BITS,Baltic International Trawl Survey
49,MEIP,market economy investor principle
50,EDI,Electronic Data Interchange
51,HFID,Heated Flame Ionisation Detector
52,DGPZ,Directoraat Generaal Politieke Zaken
53,MIGs,main industrial groupings
54,OECD,Organisation for Economic Co-operation and Development
55,ACARE,Advisory Council for Aeronautics Research in Europe
56,VHS,Viral haemorrhagic septicae-mia
57,TEM,Turbine Engineering Manufacturing
58,CFD,computational fluid dynamics
59,AAD,audible alarm devices
60,SA,Standardised approach
61,RFBs,Regional Fishery Bodies
62,CSMs,common safety methods
63,FFAs,Forward Freight Agreements
64,VHS,Viral haemorrhagic septicaemia
65,RGB,Reconnaissance General Bureau
66,RM,Regulated Market
67,IEDs,Improvised Explosive Devices
68,ICCPR,International Covenant on Civil and Political Rights the
69,RGS,Registratiecommissie Geneeskundig Specialisten
70,ERSAD,European Railway Stations Accessibility Database
71,OIS,overnight index swap
72,CLRV,Cherry leaf roll virus
73,ERA,environment risk assessment
74,ODA,Official Development Assistance
75,CSD,central securities depository
76,IMA,Integrated Modular Avionic
77,WL,Word Length
78,TPC,Transmit Power Control
79,ISPM,International Standard for Phytosanitary Measures
80,SSRUs,Small Scale Research Units
81,COPDs,chronic obstructive pulmonary diseases
82,ES,end of sampling
