ngrams,count
credit,4032
part,3883
regulation,3403
v,3196
financial,3183
risk,2803
quality,2500
credit quality,2359
step,2335
credit quality step,2332
quality step,2332
eu,2286
value,2143
assets,2071
crr,1977
amount,1828
investment,1712
trading,1696
information,1690
european,1515
instruments,1464
code,1444
directive,1426
exposures,1415
ifrs,1369
market,1300
institution,1113
lei,1081
institutions,1070
derivatives,1044
lei code,1039
exposure,1015
capital,1006
maturity,975
loss,958
ias,942
requirements,913
commission,911
data,906
order,901
insurance,896
date,888
liabilities,888
fair,880
relevant,867
time,865
authority,858
securities,854
positions,845
competent,835
own,835
client,828
years,826
transactions,811
total,810
member,804
fair value,803
b,802
equity,790
council,776
c,755
account,732
payment,717
parliament,711
european parliament,710
provisions,684
authorities,677
accounting,672
instrument,662
counterparty,653
firm,651
funds,645
clients,634
service,628
period,626
applicable,624
financial assets,617
union,610
ec,603
services,602
interest,600
net,592
reinsurance,585
financial instruments,575
firms,575
l,573
entities,571
number,567
technical,567
transaction,566
debt,563
subject,556
type,552
losses,540
competent authorities,534
purposes,534
securitisation,533
template,530
collateral,527
application,517
price,513
basis,512
loans,511
central,508
rating,500
own funds,499
level,491
general,483
business,480
report,479
trade,475
group,472
venue,470
calculation,468
indirect,468
credit risk,462
profit,460
management,452
regard,452
p,451
entity,450
investment firm,445
rate,435
trading venue,433
investment firms,432
standards,429
art,428
case,427
currency,427
conditions,419
months,413
sheet,412
cash,409
national,406
decision,405
operational,404
contracts,400
asset,398
specific,397
corporations,396
appropriate,393
available,393
duration,392
particular,392
first,389
derivative,385
year,384
financial instrument,381
state,380
markets,373
bucket,373
significant,373
use,372
exchange,365
ratings,363
maturity bucket,363
n,361
criteria,359
reference,359
european union,359
bonds,358
f,352
bad,348
amounts,348
income,347
internal,347
regulatory,346
activities,345
arrangements,345
e,344
approach,344
requirement,341
absolute,336
valuation,334
gross,334
sector,333
legal,329
assessment,328
adjustments,327
member state,326
orders,325
product,324
instructions,322
